name;alias;description;group_type;department;group_id;sku;unit;price;VAT;purchase_price;available;reserved;last_reserved_at
Пластика вульвы у кошек и собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2165;1 голова;8000;;;;;
Пластика вульвы у собак более 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2166;1 голова;10000;;;;;
Пластика лицевой брахицефалической складки (2023);;;Услуги платные;Хирургия;Хирургия;2235;1 голова;6500;;;;;
Пластика носа (расширение ноздрей);;;Услуги платные;Хирургия;Хирургия;486994;1 голова;6000;;;;;
Пластика препуция у собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2179;1 голова;1900;;;;;
Пластика препуция у собак от 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2180;1 голова;2500;;;;;
Постановка дренажной системы с первичным промыванием дренажа (2023);;;Услуги платные;Хирургия;Хирургия;2105;1 рана;550;;;;;
Постановка торакального дренажа у  собак от 10  кг (2023);;;Услуги платные;Хирургия;Хирургия;2139;1 голова;2500;;;;;
Постановка торакального дренажа у кошек, собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2138;1 голова;2000;;;;;
Превентивная гастропексия;;;Услуги платные;Хирургия;Хирургия;48692;1 голова;8145;;;;;
Проводниковая анестезия перефирического нерва;;;Услуги платные;Хирургия;Хирургия;47542;1 процедура;1000;;;;;
Протезирование семенника (без стоимости протеза) (2019);;;Услуги платные;Хирургия;Хирургия;49404;1 голова;5085;;;;;
Профессиональная гигиена ротовой полости (кошка, собака до 10 кг) (2022);;;Услуги платные;Хирургия;Хирургия;48701;1 голова;5000;;;;;
Профессиональная гигиена ротовой полости (собака от 10 кг) (2022);;;Услуги платные;Хирургия;Хирургия;48702;1 голова;7000;;;;;
Реанимация 1 плода после кесарево сечения*;;;Услуги платные;Хирургия;Хирургия;49467;1 голова;500;;;;;
Регионарная мастэктомия кошки (удаление одного -трех пакетов молочных желез) (2023);;;Услуги платные;Хирургия;Хирургия;2204;1 голова;6500;;;;;
Регионарная мастэктомия собаки (удаление одного -трех пакетов молочных желез) (2023);;;Услуги платные;Хирургия;Хирургия;2205;1 голова;7500;;;;;
Резекция прямой кишки * (2023);;;Услуги платные;Хирургия;Хирургия;2160;1 голова;5000;;;;;
Ринотомия. Кошки, собаки мелких пород ( до 10 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2236;1 голова;6500;;;;;
Ринотомия. Собаки крупных пород ( более 30 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2238;1 голова;10500;;;;;
Ринотомия. Собаки средних пород (11-30 кг) (2023);;;Услуги платные;Хирургия;Хирургия;2237;1 голова;8500;;;;;
Седация для осмотра ветеринарного врача;;;Услуги госзадание;Хирургия;Хирургия;47562;манипуляция;1000;;;;;
Сердечно-легочная реанимация* (1 категория*);;;Услуги платные;Хирургия;Хирургия;47510;1 манипуляция;4000;;;;;
Сердечно-легочная реанимация* (2 категория*);;;Услуги платные;Хирургия;Хирургия;47510;1 манипуляция;6000;;;;;
Скортэктомия при кастрации кобеля (удаление мошонки) (2023);;;Услуги платные;Хирургия;Хирургия;2125;1 голова;3500;;;;;
Снятие металличской конструкции у собаки (2023);;;Услуги платные;Хирургия;Хирургия;2116;1 голова;1500;;;;;
Снятие швов (2023);;;Услуги платные;Хирургия;Хирургия;2111;1 голова;200;;;;;
Снятие эзофагостомы (2023);;;Услуги платные;Хирургия;Хирургия;2118;1 голова;500;;;;;
Стентирование трахеи ( без учета стоимости стента) (2023);;;Услуги платные;Хирургия;Хирургия;2220;1 голова;10000;;;;;
Торакоскопия (кошки, собаки мелких пород до 10 кг.);;;Услуги платные;Хирургия;Хирургия;48699;1 голова;12000;;;;;
Торакоскопия (собаки крупных пород более 30 кг.);;;Услуги платные;Хирургия;Хирургия;48699;1 голова;17000;;;;;
Торакоскопия (собаки средних пород 11-30 кг.);;;Услуги платные;Хирургия;Хирургия;48699;1 голова;15000;;;;;
Транспозиция кожного лоскута (до 10 см);;;Услуги платные;Хирургия;Хирургия;486991;1 голова;5000;;;;;
Трахеостомия врменная;;;Услуги платные;Хирургия;Хирургия;2228;1 голова;3500;;;;;
Трахеостомия постоянная (2023);;;Услуги платные;Хирургия;Хирургия;2229;1 голова;6500;;;;;
Удаление голосовых связок*;;;Услуги платные;Хирургия;Хирургия;49401;1 голова;4000;;;;;
Удаление иксодового клеща (2023);;;Услуги платные;Хирургия;Хирургия;2131;1 процедура;350;;;;;
Удаление инородного тела из ушного канала сложное (2023);;;Услуги платные;Хирургия;Хирургия;2130;1 ухо;305;;;;;
